"token_id","class","bigramFreq","len","nvowels","ncons","vowelRatio","consRatio","vowelConsRatio","specialChar","specialRatio","ndigits","digitsRatio","upperCase","lowerCase","upperRatio","lowerRatio","seqRatio","majoritySpecial","seqCons","innerSpecial","mostFreq","countNonAlpha"
"not",0,3.68448844884488,3,1,2,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,3,0,1,0,0,0,0,0,0
"to",0,9.93201320132013,2,1,1,0.5,0.5,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"excee",1,3.23052805280528,5,3,2,0.6,0.4,1.5,0,0,0,0,0,5,0,1,0,0,0,0,0.6,0
"and",0,13.3217821782178,3,1,2,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,3,0,1,0,0,0,0,0,0
"by",1,1.29372937293729,2,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"between",0,5.66655665566557,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,0,7,0,1,0,0,0,0,0.428571428571429,0
"MCA",0,3.06006600660066,3,1,2,0.333333333333333,0.666666666666667,0.5,0,0,0,0,3,0,1,0,0,0,0,0,0,0
"Dr",0,1.43432343234323,2,0,2,0,1,0,0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0
"Frosolono",0,5.771699669967,9,4,5,0.444444444444444,0.555555555555556,0.8,0,0,0,0,1,8,0.111111111111111,0.888888888888889,0,0,0,0,0.444444444444444,0
"for",0,8.24323432343234,3,1,2,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,3,0,1,0,0,0,0,0,0
"consultlng",1,5.86967363403007,10,2,8,0.2,0.8,0.25,0,0,0,0,0,10,0,1,0,0,0,0,0,0
"fees",0,7.5007700770077,4,2,2,0.5,0.5,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"Supervlslon",1,5.01531353135313,11,3,8,0.272727272727273,0.727272727272727,0.375,0,0,0,0,1,10,0.0909090909090909,0.909090909090909,0,0,0,0,0,0
"Fundlng",1,4.01166116611661,7,1,6,0.142857142857143,0.857142857142857,0.166666666666667,0,0,0,0,1,6,0.142857142857143,0.857142857142857,0,0,0,0,0,0
"Stlpulatlons",1,6.17845784578458,12,3,9,0.25,0.75,0.333333333333333,0,0,0,0,1,11,0.0833333333333333,0.916666666666667,0,0,0,0,0.25,0
"Operatlon",1,8.34298679867987,9,4,5,0.444444444444444,0.555555555555556,0.8,0,0,0,0,1,8,0.111111111111111,0.888888888888889,0,0,0,0,0,0
"CMA",0,4.25808580858086,3,1,2,0.333333333333333,0.666666666666667,0.5,0,0,0,0,3,0,1,0,0,0,0,0,0,0
"Research",0,9.02102781706742,8,3,5,0.375,0.625,0.6,0,0,0,0,1,7,0.125,0.875,0,0,0,0,0,0
"Program",0,5.0016501650165,7,2,5,0.285714285714286,0.714285714285714,0.4,0,0,0,0,1,6,0.142857142857143,0.857142857142857,0,0,0,0,0,0
"on",0,18.8402640264026,2,1,1,0.5,0.5,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"EXHIBIT",0,2.89306930693069,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,7,0,1,0,0,0,0,0,0,0
"purpose",1,3.67920792079208,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"Proj",0,5.1953795379538,4,1,3,0.25,0.75,0.333333333333333,0,0,0,0,1,3,0.25,0.75,0,0,0,0,0,0
"eat",1,11.9290429042904,3,2,1,0.666666666666667,0.333333333333333,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0
"Chlorlde",1,4.22300801508722,8,2,6,0.25,0.75,0.333333333333333,0,0,0,0,1,7,0.125,0.875,0,0,0,0,0,0
"composed",0,6.63611504007544,8,3,5,0.375,0.625,0.6,0,0,0,0,0,8,0,1,0,0,0,0,0,0
"of",0,7.32145214521452,2,1,1,0.5,0.5,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"representatlves",1,10.0986327204149,15,5,10,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,15,0,1,0,0,0,0,0.266666666666667,0
"eight",0,1.74141914191419,5,2,3,0.4,0.6,0.666666666666667,0,0,0,0,0,5,0,1,0,0,0,0,0,0
"Vinyl",1,5.78580858085809,5,1,4,0.2,0.8,0.25,0,0,0,0,1,4,0.2,0.8,0,0,0,0,0,0
"chlorlde",1,4.22300801508722,8,2,6,0.25,0.75,0.333333333333333,0,0,0,0,0,8,0,1,0,0,0,0,0,0
"monomer",0,8.86787678767877,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"Vapor",1,4.90594059405941,5,2,3,0.4,0.6,0.666666666666667,0,0,0,0,1,4,0.2,0.8,0,0,0,0,0,0
"at",0,15.446204620462,2,1,1,0.5,0.5,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"selected",0,7.98481848184819,8,3,5,0.375,0.625,0.6,0,0,0,0,0,8,0,1,0,0,0,0,0.375,0
"concentratlon",1,9.71298129812981,13,4,9,0.307692307692308,0.692307692307692,0.444444444444444,0,0,0,0,0,13,0,1,0,0,0,0,0.230769230769231,0
"levels",0,4.36237623762376,6,2,4,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,6,0,1,0,0,0,0,0,0
"be",0,4.69438943894389,2,1,1,0.5,0.5,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"examlned",1,3.05789721829326,8,3,5,0.375,0.625,0.6,0,0,0,0,0,8,0,1,0,0,0,0,0,0
"accord",0,5.93056105610561,6,2,4,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,6,0,1,0,0,0,0,0,0
"Hlth",1,7.91375137513751,4,0,4,0,1,0,0,0,0,0,1,3,0.25,0.75,0,0,0,0,0,0
"an",0,15.1894389438944,2,1,1,0.5,0.5,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"agreediupon",1,6.93498349834984,11,6,5,0.545454545454545,0.454545454545455,1.2,0,0,0,0,0,11,0,1,0,0,0,0,0,0
"testlng",1,8.15687568756876,7,1,6,0.142857142857143,0.857142857142857,0.166666666666667,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"examlnatlon",1,4.95656765676568,11,4,7,0.363636363636364,0.636363636363636,0.571428571428571,0,0,0,0,0,11,0,1,0,0,0,0,0,0
"protocol",0,6.3053276756247,8,3,5,0.375,0.625,0.6,0,0,0,0,0,8,0,1,0,0,0,0,0.375,0
"three",0,11.1856435643564,5,2,3,0.4,0.6,0.666666666666667,0,0,0,0,0,5,0,1,0,0,0,0,0,0
"years",0,5.33646864686469,5,2,3,0.4,0.6,0.666666666666667,0,0,0,0,0,5,0,1,0,0,0,0,0,0
"Accordlng",1,4.74818481848185,9,2,7,0.222222222222222,0.777777777777778,0.285714285714286,0,0,0,0,1,8,0.111111111111111,0.888888888888889,0,0,0,0,0,0
"quotatlons",1,6.33854052071874,10,4,6,0.4,0.6,0.666666666666667,0,0,0,0,0,10,0,1,0,0,0,0,0,0
"from",0,5.25588558855886,4,1,3,0.25,0.75,0.333333333333333,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"Industrlal",1,7.95848918225156,10,3,7,0.3,0.7,0.428571428571429,0,0,0,0,1,9,0.1,0.9,0,0,0,0,0,0
"slowest",1,5.79196919691969,7,2,5,0.285714285714286,0.714285714285714,0.4,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"allowance",0,5.78968646864686,9,4,5,0.444444444444444,0.555555555555556,0.8,0,0,0,0,0,9,0,1,0,0,0,0,0,0
"supply",0,2.35643564356436,6,1,5,0.166666666666667,0.833333333333333,0.2,0,0,0,0,0,6,0,1,0,0,0,0,0,0
"contlngencles",1,7.86353135313531,13,3,10,0.230769230769231,0.769230769230769,0.3,0,0,0,0,0,13,0,1,0,0,0,0,0.230769230769231,0
"commltments",1,6.08442244224422,11,2,9,0.181818181818182,0.818181818181818,0.222222222222222,0,0,0,0,0,11,0,1,0,0,0,0,0.272727272727273,0
"have",0,4.88668866886689,4,2,2,0.5,0.5,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"been",0,8.06864686468647,4,2,2,0.5,0.5,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"recelved",1,7.51164545025931,8,3,5,0.375,0.625,0.6,0,0,0,0,0,8,0,1,0,0,0,0,0.375,0
"seventeen",0,9.62920792079208,9,4,5,0.444444444444444,0.555555555555556,0.8,0,0,0,0,0,9,0,1,0,0,0,0,0.444444444444444,0
"publlcly",1,1.87562470532768,8,1,7,0.125,0.875,0.142857142857143,0,0,0,0,0,8,0,1,0,0,1,0,0.375,0
"announced",0,6.20189768976898,9,4,5,0.444444444444444,0.555555555555556,0.8,0,0,0,0,0,9,0,1,0,0,0,0,0.333333333333333,0
"tonnage",0,6.76710671067107,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"productlon",1,5.48250825082508,10,3,7,0.3,0.7,0.428571428571429,0,0,0,0,0,10,0,1,0,0,0,0,0,0
"capaclty",1,3.01735030645922,8,2,6,0.25,0.75,0.333333333333333,0,0,0,0,0,8,0,1,0,0,0,0,0,0
"plus",0,2.41738173817382,4,1,3,0.25,0.75,0.333333333333333,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"polyvlnyl",1,1.4756600660066,9,1,8,0.111111111111111,0.888888888888889,0.125,0,0,0,0,0,9,0,1,0,0,1,0,0.333333333333333,0
"staff",0,6.01336633663366,5,1,4,0.2,0.8,0.25,0,0,0,0,0,5,0,1,0,0,0,0,0,0
"representatlve",1,9.75115511551155,14,5,9,0.357142857142857,0.642857142857143,0.555555555555556,0,0,0,0,0,14,0,1,0,0,0,0,0.285714285714286,0
"serve",0,7.68316831683168,5,2,3,0.4,0.6,0.666666666666667,0,0,0,0,0,5,0,1,0,0,0,0,0,0
"as",0,7.79141914191419,2,1,1,0.5,0.5,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"secretary",0,7.50808580858086,9,3,6,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,9,0,1,0,0,0,0,0,0
"ommendatlons",1,8.12523252325233,12,4,8,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,12,0,1,0,0,0,0,0,0
"nature",0,8.75339933993399,6,3,3,0.5,0.5,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0
"timing",0,10.1710891089109,6,2,4,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,6,0,1,0,0,0,0,0,0
"expense",0,5.75907590759076,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,0,7,0,1,0,0,0,0,0.428571428571429,0
"when",0,11.0994499449945,4,1,3,0.25,0.75,0.333333333333333,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"prlnted",1,7.41738173817382,7,1,6,0.142857142857143,0.857142857142857,0.166666666666667,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"III",0,0.21980198019802,3,3,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,1,0
"Arrangements",0,7.94983498349835,12,4,8,0.333333333333333,0.666666666666667,0.5,0,0,0,0,1,11,0.0833333333333333,0.916666666666667,0,0,0,0,0,0
"Reglstratlon",1,7.72037203720372,12,3,9,0.25,0.75,0.333333333333333,0,0,0,0,1,11,0.0833333333333333,0.916666666666667,0,0,0,0,0,0
"Mr",0,0.288448844884488,2,0,2,0,1,0,0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0
"Brown",0,2.71303630363036,5,1,4,0.2,0.8,0.25,0,0,0,0,1,4,0.2,0.8,0,0,0,0,0,0
"tlon",1,7.54719471947195,4,1,3,0.25,0.75,0.333333333333333,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"the",0,19.886798679868,3,1,2,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,3,0,1,0,0,0,0,0,0
"receptlon",1,7.34372937293729,9,3,6,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,9,0,1,0,0,0,0,0,0
"thls",1,8.03982398239824,4,0,4,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"puzpose",1,2.90913091309131,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"Carnes",0,7.0629702970297,6,2,4,0.333333333333333,0.666666666666667,0.5,0,0,0,0,1,5,0.166666666666667,0.833333333333333,0,0,0,0,0,0
"reported",0,9.65016501650165,8,3,5,0.375,0.625,0.6,0,0,0,0,0,8,0,1,0,0,0,0,0,0
"that",0,14.593399339934,4,1,3,0.25,0.75,0.333333333333333,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"advance",0,4.99152915291529,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"reglstratlon",1,7.72037203720372,12,3,9,0.25,0.75,0.333333333333333,0,0,0,0,0,12,0,1,0,0,0,0,0,0
"Annual",0,5.75445544554455,6,3,3,0.5,0.5,1,0,0,0,0,1,5,0.166666666666667,0.833333333333333,0,0,0,0,0,0
"Meetlng",1,4.7961496149615,7,2,5,0.285714285714286,0.714285714285714,0.4,0,0,0,0,1,6,0.142857142857143,0.857142857142857,0,0,0,0,0,0
"totaled",0,8.03190319031903,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"gun",1,2.16534653465347,3,1,2,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,3,0,1,0,0,0,0,0,0
"accommodated",0,6.38301830183018,12,5,7,0.416666666666667,0.583333333333333,0.714285714285714,0,0,0,0,0,12,0,1,0,0,0,0,0,0
"The",0,19.886798679868,3,1,2,0.333333333333333,0.666666666666667,0.5,0,0,0,0,1,2,0.333333333333333,0.666666666666667,0,0,0,0,0,0
"Greenbrler",1,6.88038137147048,10,3,7,0.3,0.7,0.428571428571429,0,0,0,0,1,9,0.1,0.9,0,0,0,0,0.3,0
"mm",1,2.77821782178218,2,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"Future",0,5.07379537953795,6,3,3,0.5,0.5,1,0,0,0,0,1,5,0.166666666666667,0.833333333333333,0,0,0,0,0,0
"Dates",0,11.5765676567657,5,2,3,0.4,0.6,0.666666666666667,0,0,0,0,1,4,0.2,0.8,0,0,0,0,0,0
"dates",0,11.5765676567657,5,2,3,0.4,0.6,0.666666666666667,0,0,0,0,0,5,0,1,0,0,0,0,0,0
"next",0,2.61188118811881,4,1,3,0.25,0.75,0.333333333333333,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"Elva",1,1.93179317931793,4,2,2,0.5,0.5,1,0,0,0,0,1,3,0.25,0.75,0,0,0,0,0,0
"June",0,3.03124312431243,4,2,2,0.5,0.5,1,0,0,0,0,1,3,0.25,0.75,0,0,0,0,0,0
"Forwarded",0,5.93184818481848,9,3,6,0.333333333333333,0.666666666666667,0.5,0,0,0,0,1,8,0.111111111111111,0.888888888888889,0,0,0,0,0,0
"mlttee",1,5.03564356435644,6,2,4,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,6,0,1,0,0,0,0,0,0
"on",1,18.8402640264026,2,1,1,0.5,0.5,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"MOTION",0,10.3147194719472,6,3,3,0.5,0.5,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0
"duly",0,2.8039603960396,4,1,3,0.25,0.75,0.333333333333333,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"made",0,5.72717271727173,4,2,2,0.5,0.5,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"seconded",0,10.7671852899576,8,3,5,0.375,0.625,0.6,0,0,0,0,0,8,0,1,0,0,0,0,0,0
"voTED",1,6.89785478547855,5,2,3,0.4,0.6,0.666666666666667,0,0,0,0,3,2,0.6,0.4,0,0,0,0,0,0
"That",0,14.593399339934,4,1,3,0.25,0.75,0.333333333333333,0,0,0,0,1,3,0.25,0.75,0,0,0,0,0,0
"proposed",0,6.53597359735974,8,3,5,0.375,0.625,0.6,0,0,0,0,0,8,0,1,0,0,0,0,0,0
"epldemlologlcal",1,3.51272984441301,15,5,10,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,15,0,1,0,0,0,0,0.333333333333333,0
"Report",0,8.81161716171617,6,2,4,0.333333333333333,0.666666666666667,0.5,0,0,0,0,1,5,0.166666666666667,0.833333333333333,0,0,0,0,0,0
"Subcommlttee",1,4.52181218121812,12,4,8,0.333333333333333,0.666666666666667,0.5,0,0,0,0,1,11,0.0833333333333333,0.916666666666667,0,0,0,0,0,0
"Studylng",1,3.47581329561528,8,1,7,0.125,0.875,0.142857142857143,0,0,0,0,1,7,0.125,0.875,0,0,0,0,0,0
"Means",0,9.34752475247525,5,2,3,0.4,0.6,0.666666666666667,0,0,0,0,1,4,0.2,0.8,0,0,0,0,0,0
"Increase",0,9.41801037246582,8,4,4,0.5,0.5,1,0,0,0,0,1,7,0.125,0.875,0,0,0,0,0,0
"area",0,11.0697469746975,4,3,1,0.75,0.25,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"copy",0,4.37799779977998,4,1,3,0.25,0.75,0.333333333333333,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"appended",0,7.16690240452617,8,3,5,0.375,0.625,0.6,0,0,0,0,0,8,0,1,0,0,0,0,0,0
"Exhibit",0,2.89306930693069,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,1,6,0.142857142857143,0.857142857142857,0,0,0,0,0,0
"was",0,4.9980198019802,3,1,2,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,3,0,1,0,0,0,0,0,0
"recommended",0,9.50699669966997,11,4,7,0.363636363636364,0.636363636363636,0.571428571428571,0,0,0,0,0,11,0,1,0,0,0,0,0.272727272727273,0
"agenda",0,6.68184818481848,6,3,3,0.5,0.5,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0
"Board",0,3.20676567656766,5,2,3,0.4,0.6,0.666666666666667,0,0,0,0,1,4,0.2,0.8,0,0,0,0,0,0
"meetlngs",1,4.20622347949081,8,2,6,0.25,0.75,0.333333333333333,0,0,0,0,0,8,0,1,0,0,0,0,0,0
"schedule",0,6.91136256482791,8,3,5,0.375,0.625,0.6,0,0,0,0,0,8,0,1,0,0,0,0,0,0
"Dlrectors",1,7.13465346534653,9,2,7,0.222222222222222,0.777777777777778,0.285714285714286,0,0,0,0,1,8,0.111111111111111,0.888888888888889,0,0,0,0,0,0
"approved",0,5.48363979255068,8,3,5,0.375,0.625,0.6,0,0,0,0,0,8,0,1,0,0,0,0,0,0
"further",0,10.8379537953795,7,2,5,0.285714285714286,0.714285714285714,0.4,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"subcommlttee",1,4.52181218121812,12,4,8,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,12,0,1,0,0,0,0,0,0
"Chemlcals",1,6.03663366336634,9,2,7,0.222222222222222,0.777777777777778,0.285714285714286,0,0,0,0,1,8,0.111111111111111,0.888888888888889,0,0,0,0,0,0
"Regulatlon",1,7.42104877154382,10,4,6,0.4,0.6,0.666666666666667,0,0,0,0,1,9,0.1,0.9,0,0,0,0,0,0
"Ad",0,3.49438943894389,2,1,1,0.5,0.5,1,0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0
"Hoc",0,2.56996699669967,3,1,2,0.333333333333333,0.666666666666667,0.5,0,0,0,0,1,2,0.333333333333333,0.666666666666667,0,0,0,0,0,0
"Commlttee",1,5.51641914191419,9,3,6,0.333333333333333,0.666666666666667,0.5,0,0,0,0,1,8,0.111111111111111,0.888888888888889,0,0,0,0,0,0
"Exhlblt",1,1.101100110011,7,1,6,0.142857142857143,0.857142857142857,0.166666666666667,0,0,0,0,1,6,0.142857142857143,0.857142857142857,0,0,1,0,0,0
"extenslon",1,7.25123762376238,9,3,6,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,9,0,1,0,0,0,0,0,0
"tenure",0,9.65412541254125,6,3,3,0.5,0.5,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0
"proved",0,7.00765676567657,6,2,4,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,6,0,1,0,0,0,0,0,0
"Membershlp",1,4.65925925925926,10,2,8,0.2,0.8,0.25,0,0,0,0,1,9,0.1,0.9,0,0,0,0,0,0
"appllcatlons",1,5.51227122712271,12,3,9,0.25,0.75,0.333333333333333,0,0,0,0,0,12,0,1,0,0,0,0,0.25,0
"had",0,5.08547854785479,3,1,2,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,3,0,1,0,0,0,0,0,0
"Dlxle",1,2.11903190319032,5,1,4,0.2,0.8,0.25,0,0,0,0,1,4,0.2,0.8,0,0,0,0,0,0
"Chemlcal",1,6.59358793022159,8,2,6,0.25,0.75,0.333333333333333,0,0,0,0,1,7,0.125,0.875,0,0,0,0,0,0
"Company",0,6.57865786578658,7,2,5,0.285714285714286,0.714285714285714,0.4,0,0,0,0,1,6,0.142857142857143,0.857142857142857,0,0,0,0,0,0
"Inc",0,11.826402640264,3,1,2,0.333333333333333,0.666666666666667,0.5,0,0,0,0,1,2,0.333333333333333,0.666666666666667,0,0,0,0,0,0
"Houston",0,9.07161716171617,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,1,6,0.142857142857143,0.857142857142857,0,0,0,0,0,0
"Texas",0,5.69488448844884,5,2,3,0.4,0.6,0.666666666666667,0,0,0,0,1,4,0.2,0.8,0,0,0,0,0,0
"Rublcon",1,5.66259625962596,7,2,5,0.285714285714286,0.714285714285714,0.4,0,0,0,0,1,6,0.142857142857143,0.857142857142857,0,0,0,0,0,0
"Gelsmar",1,4.18536853685369,7,2,5,0.285714285714286,0.714285714285714,0.4,0,0,0,0,1,6,0.142857142857143,0.857142857142857,0,0,0,0,0,0
"Louisiana",0,6.11716171617162,9,6,3,0.666666666666667,0.333333333333333,2,0,0,0,0,1,8,0.111111111111111,0.888888888888889,0,0,0,0,0,0
"quallfled",1,4.3036303630363,9,3,6,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,9,0,1,0,0,0,0,0.333333333333333,0
"membershlp",1,4.65925925925926,10,2,8,0.2,0.8,0.25,0,0,0,0,0,10,0,1,0,0,0,0,0,0
"under",0,9.2970297029703,5,2,3,0.4,0.6,0.666666666666667,0,0,0,0,0,5,0,1,0,0,0,0,0,0
"Assoclatlons",1,6.53285328532853,12,4,8,0.333333333333333,0.666666666666667,0.5,0,0,0,0,1,11,0.0833333333333333,0.916666666666667,0,0,0,0,0.25,0
"Bylaws",0,1.65029702970297,6,1,5,0.166666666666667,0.833333333333333,0.2,0,0,0,0,1,5,0.166666666666667,0.833333333333333,0,0,0,0,0,0
"appllcants",1,5.48536853685369,10,2,8,0.2,0.8,0.25,0,0,0,0,0,10,0,1,0,0,0,0,0,0
"elected",0,7.94466446644664,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,0,7,0,1,0,0,0,0,0.428571428571429,0
"Proposed",0,6.53597359735974,8,3,5,0.375,0.625,0.6,0,0,0,0,1,7,0.125,0.875,0,0,0,0,0,0
"Epldemlologlcal",1,3.51272984441301,15,5,10,0.333333333333333,0.666666666666667,0.5,0,0,0,0,1,14,0.0666666666666667,0.933333333333333,0,0,0,0,0.333333333333333,0
"Study",0,3.98894389438944,5,1,4,0.2,0.8,0.25,0,0,0,0,1,4,0.2,0.8,0,0,0,0,0,0
"Vlnyl",1,0.40973597359736,5,0,5,0,1,0,0,0,0,0,1,4,0.2,0.8,0,0,0,0,0,0
"supplementary",1,6.23382838283828,13,4,9,0.307692307692308,0.692307692307692,0.444444444444444,0,0,0,0,0,13,0,1,0,0,0,0,0,0
"annual",1,5.75445544554455,6,3,3,0.5,0.5,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0
"program",0,5.0016501650165,7,2,5,0.285714285714286,0.714285714285714,0.4,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"Companles",1,7.44067656765677,9,3,6,0.333333333333333,0.666666666666667,0.5,0,0,0,0,1,8,0.111111111111111,0.888888888888889,0,0,0,0,0,0
"are",0,12.3986798679868,3,2,1,0.666666666666667,0.333333333333333,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0
"also",0,5.75401540154015,4,2,2,0.5,0.5,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"supportlng",1,4.27627429409608,10,2,8,0.2,0.8,0.25,0,0,0,0,0,10,0,1,0,0,0,0,0,0
"scrlptlon",1,3.62376237623762,9,1,8,0.111111111111111,0.888888888888889,0.125,0,0,0,0,0,9,0,1,0,0,1,0,0,0
"basls",1,2.95445544554455,5,1,4,0.2,0.8,0.25,0,0,0,0,0,5,0,1,0,0,0,0,0,0
"defray",0,3.93267326732673,6,2,4,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,6,0,1,0,0,0,0,0,0
"antlclpated",1,7.59445544554455,11,3,8,0.272727272727273,0.727272727272727,0.375,0,0,0,0,0,11,0,1,0,0,1,0,0,0
"costs",0,7.69752475247525,5,1,4,0.2,0.8,0.25,0,0,0,0,0,5,0,1,0,0,0,0,0,0
"ranglng",1,6.34345434543454,7,1,6,0.142857142857143,0.857142857142857,0.166666666666667,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"estlmated",1,9.26287128712871,9,3,6,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,9,0,1,0,0,0,0,0,0
