"token_id","class","bigramFreq","len","nvowels","ncons","vowelRatio","consRatio","vowelConsRatio","specialChar","specialRatio","ndigits","digitsRatio","upperCase","lowerCase","upperRatio","lowerRatio","seqRatio","majoritySpecial","seqCons","innerSpecial","mostFreq","countNonAlpha"
"aa",0,0.761056105610561,2,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"abandon",0,8.36633663366337,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"abandoned",0,8.30750825082508,9,4,5,0.444444444444444,0.555555555555556,0.8,0,0,0,0,0,9,0,1,0,0,0,0,0,0
"abandoning",0,9.02552255225523,10,4,6,0.4,0.6,0.666666666666667,0,0,0,0,0,10,0,1,0,0,0,0,0.3,0
"abatement",0,8.96765676567657,9,4,5,0.444444444444444,0.555555555555556,0.8,0,0,0,0,0,9,0,1,0,0,0,0,0,0
"abating",0,10.2525852585259,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"abbreviated",0,6.61386138613861,11,5,6,0.454545454545455,0.545454545454545,0.833333333333333,0,0,0,0,0,11,0,1,0,0,0,0,0,0
"abeyance",0,4.800942951438,8,4,4,0.5,0.5,1,0,0,0,0,0,8,0,1,0,0,0,0,0,0
"abilities",0,7.07425742574257,9,5,4,0.555555555555556,0.444444444444444,1.25,0,0,0,0,0,9,0,1,0,0,0,0,0.333333333333333,0
"ability",0,3.92079207920792,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"able",0,3.06468646864686,4,2,2,0.5,0.5,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"ably",0,1.96765676567657,4,1,3,0.25,0.75,0.333333333333333,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"abolish",0,3.49053905390539,7,3,4,0.428571428571429,0.571428571428571,0.75,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"abolished",0,6.2263201320132,9,4,5,0.444444444444444,0.555555555555556,0.8,0,0,0,0,0,9,0,1,0,0,0,0,0,0
"about",0,2.73630363036304,5,3,2,0.6,0.4,1.5,0,0,0,0,0,5,0,1,0,0,0,0,0,0
"above",0,2.89438943894389,5,3,2,0.6,0.4,1.5,0,0,0,0,0,5,0,1,0,0,0,0,0,0
