"token","class"
"exhibit",0
"staff",0
"report",0
"ma",0
"by",0
"william",0
"driver",0
"congressional",0
"action",0
"involving",0
"portions",0
"of",0
"the",0
"foreign",0
"trade",0
"and",0
"investment",0
"act",0
"suddenly",0
"loomed",0
"as",0
"possibility",0
"last",0
"week",0
"when",0
"it",0
"was",0
"learned",0
"that",0
"planned",0
"to",0
"attempt",0
"attaching",0
"titles",0
"vi",0
"proposed",0
"gold",0
"legislation",0
"through",0
"agreement",0
"with",0
"house",0
"ways",0
"means",0
"committee",0
"chairman",0
"wilbur",0
"mills",0
"ark",0
"banking",0
"currency",0
"has",0
"been",0
"given",0
"jurisdiction",0
"over",0
"so",0
"called",0
"latter",0
"scheduled",0
"bill",0
"hearings",0
"march",0
"immediately",0
"afterward",0
"is",0
"expected",0
"begin",0
"executive",0
"session",0
"rapid",0
"enactment",0
"anticipated",0
"organized",0
"position",0
"be",0
"presented",0
"day",0
"dollar",0
"devaluation",0
"in",0
"itself",0
"does",0
"not",0
"provide",0
"adequate",0
"remedies",0
"stronger",0
"measures",0
"embodied",0
"burke",0
"are",0
"needed",0
"title",0
"measure",0
"would",0
"empower",0
"president",0
"prohibit",0
"any",0
"transactions",0
"direct",0
"or",0
"indirect",0
"transfer",0
"capital",0
"within",0
"country",0
"his",0
"judgment",0
"result",0
"net",0
"crease",0
"employment",0
"holder",0
"patent",0
"from",0
"manufacturing",0
"patented",0
"product",0
"using",0
"process",0
"others",0
"manufacture",0
"outside",0
"united",0
"states",0
"territory",0
"such",0
"prohibition",0
"will",0
"contribute",0
"increased",0
"require",0
"onerous",0
"reporting",0
"provisions",0
"including",0
"complete",0
"statistics",0
"on",0
"working",0
"conditions",0
"well",0
"products",0
"their",0
"distribution",0
"also",0
"imposes",0
"burdensome",0
"requirements",0
"for",0
"labeling",0
"advertising",0
"after",0
"key",0
"members",0
"were",0
"alerted",0
"strategy",0
"assurances",0
"obtained",0
"kept",0
"free",0
"encumbering",0
"amendments",0
"ruled",0
"germane",0
"senate",0
"approved",0
"required",0
"implement",0
"negotiated",0
"international",0
"monetary",0
"subcommittee",0
"environment",0
"begun",0
"consideration",0
"pending",0
"toxic",0
"february",0
"made",0
"public",0
"draft",0
"no",0
"we",0
"invited",0
"submit",0
"memorandum",0
"dealing",0
"section",0
"document",0
"prepared",0
"our",0
"general",0
"counsel",0
"submitted",0
"additional",0
"changes",0
"improvements",0
"recommended",0
"more",0
"comments",0
"letter",0
"acting",0
"senator",0
"emphasized",0
"concern",0
"certain",0
"relative",0
"testing",0
"chemical",0
"pointed",0
"out",0
"other",0
"works",0
"insisted",0
"some",0
"time",0
"language",0
"federal",0
"water",0
"pollution",0
"control",0
"however",0
"present",0
"indications",0
"released",0
"until",0
"mid",0
"late",0
"formal",0
"about",0
"same",0
"rules",0
"take",0
"place",0
"prior",0
"floor",0
"could",0
"reach",0
"conference",0
"before",0
"easter",0
"equal",0
"opportunity",0
"commission",0
"seek",0
"court",0
"enforcement",0
"its",0
"findings",0
"job",0
"discrimination",0
"prompt",0
"approval",0
"both",0
"houses",0
"version",0
"generally",0
"prevailed",0
"purview",0
"government",0
"educational",0
"employees",0
"reducing",0
"number",0
"workers",0
"company",0
"union",0
"coming",0
"under",0
"consumer",0
"protection",0
"agency",0
"which",0
"passed",0
"october",0
"currently",0
"operations",0
"reorganization",0
"this",0
"establish",0
"an",0
"independent",0
"authorized",0
"intervene",0
"behalf",0
"consumers",0
"where",0
"business",0
"regulation",0
"at",0
"issue",0
"addition",0
"new",0
"judicial",0
"review",0
"considered",0
"contrary",0
"interests",0
"have",0
"make",0
"known",0
"legislative",0
"contacts",0
"disruptive",0
"effects",0
"suggesting",0
"affected",0
"companies",0
"opposition",0
"particularly",0
"marking",0
"up",0
"next",0
"three",0
"four",0
"weeks",0
"oversight",0
"implementation",0
"clean",0
"air",0
"held",0
"recently",0
"january",0
"representative",0
"paul",0
"rogers",0
"interstate",0
"commerce",0
"thomas",0
"mo",0
"particular",0
"expressed",0
"democratic",0
"congress",0
"office",0
"management",0
"budget",0
"ceding",0
"environmental",0
"affairs",0
"intent",0
"persistently",0
"attacked",0
"delay",0
"issuing",0
"state",0
"preparation",0
"adoption",0
"plans",0
"administrator",0
"mr",0
"had",0
"delayed",0
"publication",0
"order",0
"revise",0
"them",0
"he",0
"deleted",0
"implications",0
"depend",0
"inclusion",0
"specified",0
"regulatory",0
"clearly",0
"identified",0
"possible",0
"options",0
"thus",0
"allowing",0
"native",0
"strategies",0
"democrats",0
"environmentalists",0
"alleged",0
"change",0
"political",0
"pressures",0
"applied",0
"defended",0
"legal",0
"technological",0
"soundness",0
"actions",0
"indicated",0
"written",0
"testimony",0
"developed",0
"tourism",0
"connection",0
"export",0
"expansion",0
"daniel",0
"hi",0
"reiterated",0
"upgrading",0
"commercial",0
"attaches",0
"industry",0
"advisors",0
"during",0
"negotiations",0
"strengthening",0
"import",0
"bank",0
"easing",0
"restraints",0
"financing",0
"ending",0
"freight",0
"rate",0
"disparities",0
"permitting",0
"activities",0
"zones",0
"access",0
"drawback",0
"opportunities",0
"controls",0
"qualifying",0
"all",0
"earnings",0
"disc",0
"two",0
"specific",0
"recommendations",0
"law",0
"use",0
"subsidize",0
"directly",0
"rather",0
"than",0
"indirectly",0
"operation",0
"merchant",0
"marine",0
"topic",0
"meeting",0
"headquarters",0
"discussion",0
"centered",0
"reported",0
"medical",0
"researchers",0
"extraction",0
"blood",0
"stored",0
"bags",0
"chloride",0
"film",0
"observances",0
"birth",0
"defects",0
"rats",0
"injected",0
"types",0
"esters",0
"used",0
"plastics",0
"forty",0
"five",0
"representatives",0
"attended",0
"they",0
"wish",0
"consider",0
"development",0
"technical",0
"program",0
"eight",0
"volunteered",0
"ad",0
"planning",0
"group",0
"studies",0
"understanding",0
"proposal",0
"administration",0
"your",0
"association",0
"extended",0
"university",0
"michigan",0
"maintain",0
"registry",0
"cases",0
"fingertip",0
"bone",0
"lesions",0
"consultation",0
"center",0
"funded",0
"contributions",0
"manufacturers",0
